rate,ml_model,sessions,connection rate,concurrency,connection time (min),connection time (avg),connection time (max),connection time (stdev),request rate,ms per request,reply rate (min),reply rate (avg),reply rate (max),reply rate (stdev),response_time,cores,memory,payload_instance,errors,error_percentage,session rate (min),session rate (avg),session rate (max),session rate (stdev),sessions connections/session,session lifetime,session failtime,session length histogram part 1,session length histogram part 2,test duration,,,,,,,,,,
5,mnist,300,5.5,2,3,3.9,134.3,3.5,5.5,181.4,3.6,5.4,7.8,1.2,3.6,6,0.25,3,0,0,3.6,5.51,7.8,1.25,1,0,0,,,54.426,,,,,,,,,,
95,mnist,5700,95.7,5,2.9,3.5,9.3,3.5,95.7,10.4,90.2,95.5,103.2,4.9,3.2,6,0.25,3,0,0,90.2,95.73,103.2,4.95,1,0,0,,,59.541,,,,,,,,,,
125,mnist,7500,125.2,6,2.9,3.5,8.2,3.5,125.2,8,117,125.4,141.2,6.5,3.3,6,0.25,3,0,0,117,125.21,141.2,6.52,1,0,0,,,59.9,,,,,,,,,,
135,mnist,8100,135.1,6,2.9,3.6,8.7,3.5,135.1,7.4,129.4,135.2,145.6,4.8,3.3,6,0.25,3,0,0,129.4,135.13,145.6,4.81,1,0,0,,,59.94,,,,,,,,,,
165,mnist,9900,166.5,8,2.9,3.7,10.5,3.5,166.5,6,158,166,172.8,4.9,3.4,6,0.25,3,0,0,158,166.54,172.8,4.95,1,0,0,,,59.446,,,,,,,,,,
175,mnist,10500,176.4,8,2.7,3.7,11.6,3.5,176.4,5.7,164.2,176.3,183.8,6,3.4,6,0.25,3,0,0,164.2,176.42,183.8,6,1,0,0,,,59.518,,,,,,,,,,
205,mnist,12300,206.9,11,2.7,3.8,15.3,3.5,206.9,4.8,193,207.5,218,7.3,3.5,6,0.25,3,0,0,193,206.87,218,7.32,1,0,0,,,59.458,,,,,,,,,,
215,mnist,12900,216,10,2.6,3.8,14.3,3.5,216,4.6,206,217.1,231.6,7.4,3.6,6,0.25,3,0,0,206,216.04,231.6,7.44,1,0,0,,,59.711,,,,,,,,,,
225,mnist,13500,225.6,11,2.9,3.9,12.5,3.5,225.6,4.4,214.8,226.5,244,9.2,3.6,6,0.25,3,0,0,214.8,225.59,244,9.15,1,0,0,,,59.842,,,,,,,,,,
255,mnist,15300,256.2,22,2.6,5.1,59.7,3.5,256.2,3.9,244.8,255.8,275.4,9.6,4.2,6,0.25,3,0,0,244.8,256.19,275.4,9.64,1,0,0,,,59.721,,,,,,,,,,
265,mnist,15900,266.4,18,2.8,5.6,48.2,3.5,266.4,3.8,247.8,266.2,283,9.7,4.5,6,0.25,3,0,0,247.8,266.42,283,9.73,1,0,0,,,59.679,,,,,,,,,,
295,mnist,17700,296.6,26,2.7,7.4,62.6,4.5,296.6,3.4,277.8,297.1,309.8,9.8,5.6,6,0.25,3,0,0,277.8,296.58,309.8,9.76,1,0,0,,,59.68,,,,,,,,,,
